משנת דיגום 2012 קבוצת פרמטרים: מתכות;אורגנים תעשייה;חומרי הדברה;דלקים;כלוריד ניטרט,,,,,,,,,
זיהוי,שם,תא דיווח,שימוש,פרמטר,סוג תקן מי שתייה,ערך תקן,תאריך דיגום אחרון,ריכוז אחרון,אחוז מתקן מי השתיה
217301,פ חצבה 2/א,752,פרטי,Cl,תקן ישראלי מותר,400,17/05/2012,1100,275
217301,פ חצבה 2/א,752,פרטי,NO3,תקן ישראלי מותר,70,17/05/2012,5,7.1
313902,פ26-HF,711,פרטי,Cl,תקן ישראלי מותר,400,13/08/2013,377.8,94.5
313902,פ26-HF,711,פרטי,NO3,תקן ישראלי מותר,70,13/08/2013,23,32.9
416601,מק עין יהב 3 א,752,חברת מקורות,AS,תקן ישראלי מותר,10,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,CD,תקן ישראלי מותר,5,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,Cl,תקן ישראלי מותר,400,18/12/2017,247.68,61.9
416601,מק עין יהב 3 א,752,חברת מקורות,CR,תקן ישראלי מותר,50,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,DCET,תקן ישראלי מותר,4,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,LIND,תקן ישראלי מותר,1,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,NI,תקן ישראלי מותר,20,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,NO3,תקן ישראלי מותר,70,18/12/2017,1,1.4
416601,מק עין יהב 3 א,752,חברת מקורות,PB,תקן ישראלי מותר,10,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,TECE,תקן ישראלי מותר,10,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,18/02/2013,0,0
416601,מק עין יהב 3 א,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,18/02/2013,0,0
